Date,Donor,Address,Amount
2010-01-04,CONIFER REALTY LLC,,500.0
2010-01-05,"THACHER ASSOCIATES, LLC",,1000.0
2010-01-05,"DONALD ZUCKER COMPANY, LLC",,25000.0
2010-01-05,"CABLEVISION OF WARWICK, LLC",,20000.0
2010-01-06,CARNAP LLC,,11000.0
2010-01-06,CARNAP LLC,,15000.0
2010-01-07,"WRIGHT REAL ESTATE, LLC",,1300.0
2010-01-07,MANHATTAN BEER DISTRIBUTORS LLC,,2500.0
2010-01-07,"A.L. GEORGE, LLC",,2500.0
2010-01-07,"WRIGHT REAL ESTATE, LLC",,1700.0
2010-01-07,"STEVEN W. HARRIS, LLC",,5000.0
2010-01-07,RAM ASSOCIATES LLC,,2500.0
2010-01-07,MANHATTAN BEER DISTRIBUTORS LLC,,5000.0
2010-01-07,DJJT BERTOLINE ASSOCIATES LLC,,2500.0
2010-01-07,"ENGLISH DANA ENTERPRISES, LLC",,2500.0
2010-01-07,S&S REALTY OF ROCHESTER LLC,,1000.0
2010-01-11,92ND REALTY LLC,,5000.0
2010-01-11,80TH REALTY LLC,,5000.0
2010-01-11,EAST 103RD STREET REALTY LLC,,20000.0
2010-01-11,EAST 77TH REALTY LLC,,5000.0
2010-01-11,"DOUGLASTON DEVELOPMENT, LLC",,5000.0
2010-01-11,WEST 37TH STREET PARKING LLC,,55000.0
2010-01-11,"COMMUNITY COUNSELLING SERVICE CO., LLC",,5000.0
2010-01-11,79TH STREET REALTY LLC,,5000.0
2010-01-11,COLUMBUS 60TH REALTY LLC,,5000.0
2010-01-11,IMPROVEMENT FUND LLC,,50000.0
2010-01-12,"PARAGON MANAGEMENT SNF, LLC",,5000.0
2010-01-12,"METROPOLITAN REALTY GROUP, LLC",,2000.0
2010-01-12,HAVEN MANOR ASSOCIATES LLC,,5000.0
2010-01-12,ALROSE GROUP LLC,,500.0
2010-01-13,NEW SEA CREST HEALTH CENTER LLC,,1000.0
2010-01-13,BOWNE ASSOCIATES LLC,,2000.0
2010-01-13,"W&W GLASS, LLC",,4000.0
2010-01-13,"ABSOLUT FACILITIES MANAGEMENT, LLC",,5000.0
2010-01-13,MUSS DEVELOPMENT LLC,,5000.0
2010-01-13,ISLAND FUND I LLC,,45000.0
2010-01-13,REGENCY EXTENDED MANAGEMENT LLC,,5000.0
2010-01-13,ROCKAWAY EXTENDED MGMT LLC,,5000.0
2010-01-13,"MACANDREWS & FORBES GROUP, LLC",,5000.0
2010-01-14,MSL PARTNERS LLC,,5000.0
2010-01-14,DRUG SOURCE COMPANY LLC,,50000.0
2010-01-14,CAPITAL STRATEGIES GROUP LLC,,2000.0
2010-01-16,"PEREGRINE PROPERTIES OF UPSTATE, LLC",,250.0
2010-01-16,"PEREGRINE PROPERTIES OF UPSTATE, LLC",,250.0
2010-01-16,"CSL STRATEGIES, LLC",,2500.0
2010-01-16,RCDOLNER LLC,,2500.0
2010-01-16,"WOH GOVERNMENT SOLUTIONS, LLC",,1500.0
2010-01-16,"PEREGRINE PROPERTIES OF UPSTATE, LLC",,250.0
2010-01-16,"PEREGRINE PROPERTIES OF UPSTATE, LLC",,250.0
2010-01-19,88 GREENWICH MARKETING GROUP LLC,,3000.0
2010-01-23,LECESSE CONSTRUCTION SERVICES LLC,,1000.0
2010-02-19,JANSON SUPERMARKETS LLC,,500.0
2010-02-23,STUART LEVINE & ASSOCIATES LLC,,1000.0
2010-03-08,"BOGDAN LASKY & KOPLEY, LLC",,2206.0
2010-03-15,CONSTANTINOPLE & VALLONE CONSULTING LLC,,3003.0
2010-03-23,DAMES REID LLC,,2500.0
2010-03-31,"QUADRIGA ART III, LLC",,1000.0
2010-03-31,VAN WAGNER COMMUNICATIONS LLC,,2398.0
2010-04-01,MYRON M. CHERRY & ASSOCIATES LLC,,5000.0
2010-04-05,ROC APPAREL GROUP LLC,,5000.0
2010-04-05,PREMO LAW FIRM PLLC,,1500.0
2010-04-11,PAUL TRAUB PLLC,,2500.0
2010-04-12,"JACKSON BUILDERS, LLC",,5000.0
2010-04-12,"INTERNATIONAL CULINARY CENTER, LLC",,1000.0
2010-04-12,ACCESS INDUSTRIES HOLDINGS LLC,,15000.0
2010-04-12,"ENNIS, PREZIOSO & COMPANY, LLC",,1000.0
2010-04-13,BARDONIA CHIROPRACTIC OFFICE PLLC,,100.0
2010-04-13,EAST END NON SURGICAL DECOMPRESSION LLC,,100.0
2010-04-18,LIGHTHOUSE 49 LLC,,485.0
2010-04-18,WEST 109TH PORTFOLIO LLC,,3671.0
2010-04-19,ISLAND CAPITAL GROUP LLC,,12508.0
2010-04-19,"INTERNATIONAL HOSPITALITY INVESTMENTS, LLC",,1500.0
2010-04-19,"PIER SIXTY, LLC",,1500.0
2010-04-20,"ADVANCED QUALITY LOGISTICS, LLC",,1000.0
2010-04-21,THE KOLLURI GROUP LLC,,150.0
2010-04-22,"CPV VALLEY, LLC",,5000.0
2010-04-22,TURNER CHIROPRACTIC PLLC,,100.0
2010-04-22,"BROWN INTEGRATED CHIROPRACTIC, PLLC",,100.0
2010-04-22,BOTTLING GROUP LLC - FSV,,38000.0
2010-04-22,"CPV MARYLAND, LLC",,5000.0
2010-04-22,"17TH STREET ENTERTAINMENT II, LLC",,1500.0
2010-04-22,"CPV DANBURY, LLC",,5000.0
2010-04-23,CAMPANELLA CHIROPRACTIC & WELLNESS PLLC.,,100.0
2010-04-29,"SARATOGA GAMING RESOURCES, LLC",,15000.0
2010-05-05,MEDALLION HAMPTONS LLC,,24000.0
2010-05-05,"HCDC HOLDINGS, LLC",,2500.0
2010-05-05,"NORTH SHORE CAMP, LLC",,2500.0
2010-05-06,"FERRO ENTERPRISES NY, LLC",,2000.0
2010-05-07,CHIROPRACTIC ORTHOPEDICS & REHABILITATION LLC,,200.0
2010-05-07,LAKE CHIROPRACTIC PLLC,,100.0
2010-05-09,JAM ADVERTISING GROUP LLC,,500.0
2010-05-09,WILLIAMS CONSULTING LLC,,500.0
2010-05-10,OAK STREET LEASING LLC,,52.0
2010-05-10,ELLECOTT LOFTS LLC,,99.0
2010-05-11,JNS LLC,,102.0
2010-05-11,JNS LLC,,5621.0
2010-05-13,JF TRAPEZA LLC,,5000.0
2010-05-13,"EMPIRE MERCHANTS NORTH, LLC",,25000.0
2010-05-13,PITTA BISHOP DEL GIORNO & GIBLIN LLC,,5000.0
2010-05-13,"EMPIRE MERCHANTS, LLC",,21800.0
2010-05-13,TSUNIS - HUNTINGTON LLC,,5000.0
2010-05-14,CALIPER REAL ESTATE ADVISORS LLC,,3000.0
2010-05-14,"GONZALEZ SAGGIO & HARLAN, LLC",,5000.0
2010-05-14,"GSH CONSULTING, LLC",,5000.0
2010-05-14,DAC 47 GREAT JONES LLC,,2500.0
2010-05-14,MUSS DEVELOPMENT LLC,,3000.0
2010-05-14,"ALBERT FRIED & COMPANY, LLC",,1000.0
2010-05-14,EFFICIENCY LEASING OF FLORIDA LLC,,5000.0
2010-05-14,CHARTWELL LODGING LLC,,5000.0
2010-05-17,"TULLY-WILLETS REALTY CO., LLC",,250.0
2010-05-17,LIGHTHOUSE 49 LLC,,15000.0
2010-05-17,EFFICIENCY ENTERPRISES OF TAMPA LLC,,5000.0
2010-05-17,"BEACON 109 203-205, LLC",,15000.0
2010-05-17,GENNX360 MANAGEMENT COMPANY LLC,,10000.0
2010-05-17,TERN CONSTRUCTION & DEVELOPMENT LLC,,5000.0
2010-05-17,GRANITE BUILDING 2 LLC,,5000.0
2010-05-17,HASA CONSTRUCTION LLC,,4500.0
2010-05-17,MILL ROAD VENTURES LLC,,2500.0
2010-05-17,WEST 109TH PORTFOLIO LLC,,15000.0
2010-05-17,"EFFICIENCY ENTERPRISE OF MARYLAND, LLC",,5000.0
2010-05-20,HASA REALTY LLC,,5000.0
2010-05-21,COPPER PLUMBING & HEATING LLC,,1000.0
2010-05-25,IRWIN & STREINER LLC,,1000.0
2010-05-25,J & R FOLINO LLC,,100.0
2010-05-25,COMPREHENSIVE MEDICAL REVIEWS LLC,,100.0
2010-05-25,GREENFIELD CONSULTANTS LLC,,500.0
2010-05-28,LIGHTHOUSE 49 LLC,,5000.0
2010-06-01,"LMR, LLC",,6662.0
2010-06-02,"LMR, LLC",,20000.0
2010-06-03,"COURTHOUSE CORPORATE CENTER, LLC",,25000.0
2010-06-03,POKLEMBA & HOBBS LLC,,1000.0
2010-06-03,GENNX360 MANAGEMENT COMPANY LLC,,10000.0
2010-06-03,AMERICAN ANALYTICAL LABORATORIES LLC,,500.0
2010-06-03,WASTE MANAGEMENT OF NEW YORK LLC,,5000.0
2010-06-03,"NICOLINI, PARADISE, FERRETTI & SABELLA PLLC",,1000.0
2010-06-07,"POS RESIDENTIAL MANAGEMENT, LLC",,500.0
2010-06-08,"BOND, SCHOENECK AND KING, LLC",,5000.0
2010-06-08,COBB B LLC,,1000.0
2010-06-08,"WESTERN NEW YORK ENERGY, LLC",,2000.0
2010-06-08,JNS LLC,,136.0
2010-06-08,JNS LLC,,7897.0
2010-06-08,MCLAREN ABSTRACT LLC,,1000.0
2010-06-09,"J. DONOFRIO METALS CO, LLC",,1000.0
2010-06-09,"RMC CONSULTING GROUP, LLC",,500.0
2010-06-12,AMERICAN ROCK SALT COMPANY LLC,,5000.0
2010-06-12,HINMAN STRAUB ADVISORS LLC,,4500.0
2010-06-13,"VANACORE, DEBENEDICTUS, DIGOVANNI AND WEDDELL LLC",,5000.0
2010-06-13,SIXNET LLC,,1000.0
2010-06-13,"R & P OAK HILL DEVELOPMENT, LLC",,5000.0
2010-06-13,"BROWN & WEINRAUB, PLLC",,965.0
2010-06-13,"PIETRZAK & PFAU ENGINEERING & SURVEYING, PLLC",,5000.0
2010-06-16,WW SOUTH MAIN LLC,,2000.0
2010-06-16,RITTENHOUSE CONSULTING GROUP LLC,,1000.0
2010-06-16,ACCESS INDUSTRIES HOLDINGS LLC,,15000.0
2010-06-16,EPONYMOUS ASSOCIATES LLC,,2000.0
2010-06-16,"380 DEVELOPMENT, LLC",,2000.0
2010-06-16,"PORTABLES UNLIMITED, LLC",,1000.0
2010-06-16,"LOGISTICARE SOLUTIONS, LLC",,2000.0
2010-06-16,THE CREST GROUP LLC,,500.0
2010-06-16,"ORANGEBURG HOLDINGS, LLC",,1000.0
2010-06-16,ATLANTIC CRANE LLC,,1000.0
2010-06-16,ADA ELECTRICAL CONTRACTING LLC,,1000.0
2010-06-16,BD BLAKELY LLC,,15000.0
2010-06-16,MKFISHER LLC,,1000.0
2010-06-16,"O-NOSSO-FUTURA, LLC",,2000.0
2010-06-16,MILLBROOK VENTURES LLC,,25000.0
2010-06-16,EDGEWATER INDUSTRIAL PARK LLC,,5000.0
2010-06-16,APPLE REAL ESTATE MANAGEMENT COMPANIES LLC,,1000.0
2010-06-16,FARMERS SERVICES  LLC,,1000.0
2010-06-16,PANNONE LOPEZ DEVEREAUX & WEST LLC,,500.0
2010-06-16,"KOHL INDUSTRIAL PARK, LLC",,2000.0
2010-06-17,LIGHTHOUSE GLOBAL PARTNERS LLC,,2000.0
2010-06-18,P/A ASSOCIATES LLC,,1000.0
2010-06-18,LANCE HOLDINGS LLC,,2500.0
2010-06-18,HELLMAN MANAGEMENT LLC,,1000.0
2010-06-18,BOLD FOOD LLC,,1500.0
2010-06-18,COMMERCIAL SITE MANAGEMENT LLC,,2000.0
2010-06-21,"SUNSHINE SACHS & ASSOCIATES, LLC",,5000.0
2010-06-22,"THE DIMARCO GROUP, LLC",,24434.0
2010-06-22,JONI PROPERTY TRUST LLC,,1000.0
2010-06-23,"WECARE ORGANICS, LLC",,1000.0
2010-06-23,ACCESS INDUSTRIES HOLDINGS LLC,,10000.0
2010-06-26,"LMR, LLC",,20000.0
2010-06-28,"PALADIN REALTY PARTNERS, LLC",,250.0
2010-06-28,"VMS ASSOCIATES, LLC",,500.0
2010-06-28,C & C  LLC,,10000.0
2010-06-28,RIVERSIDE PARTNERS LLC,,1000.0
2010-06-28,RESSA FAMILY LLC,,500.0
2010-06-28,"NORTHEAST GOVERNMENT CONSULTING, LLC",,750.0
2010-06-28,CUOMO LLC,,5000.0
2010-07-01,M. CARCHEDI CUSTOM TAILORS LLC,,1500.0
2010-07-01,GLEN FALLS CROSSINGS LLC,,1818.0
2010-07-01,CATSKILL CROSSINGS LLC,,1818.0
2010-07-01,"RID VENTURES, LLC",,5000.0
2010-07-01,DUVERNAY & BROOKS LLC,,1000.0
2010-07-01,BELVEDERE OF ALBANY LLC,,500.0
2010-07-01,WASTE MANAGEMENT OF NEW YORK LLC,,20000.0
2010-07-01,POUGHKEEPSIE CROSSING LLC,,1818.0
2010-07-01,UTICA CROSSING LLC,,1818.0
2010-07-01,CROSSROADS HEALTHCARE MANAGEMENT LLC,,500.0
2010-07-01,"MONTGOMERY MANOR ASSOCIATES, LLC",,5000.0
2010-07-01,"ROCHESTER MALLS, LLC",,10000.0
2010-07-02,"CABLEVISION OF ROCKLAND/RAMAPO, LLC",,50000.0
2010-07-02,QAR LLC,,500.0
2010-07-02,"THE SUCCESS GROUP, LLC",,2500.0
2010-07-02,PRINCE SOHO LLC,,2500.0
2010-07-02,RIVER AVENUE ASSOCIATES LLC,,5000.0
2010-07-02,DENNIS J. BISCHOF LLC,,145.0
2010-07-02,M-HILL 4 LLC,,2500.0
2010-07-02,"DIVERSE FUNDING ASSOCIATES, LLC",,500.0
2010-07-02,43 & 2 PROPERTY CO LLC,,2500.0
2010-07-05,ZUFFA LLC,,36800.0
2010-07-05,THE CAREY GROUP LLC,,1000.0
2010-07-05,BERIT REALTY LLC,,3000.0
2010-07-05,"WEC PRODUCTIONS, LLC",,37800.0
2010-07-05,EASTSIDE TERRACE LLC,,2500.0
2010-07-05,RCA ASPHALT LLC,,1000.0
2010-07-05,NORTHFIELD ADVISORS LLC,,3000.0
2010-07-05,"TULLY-WILLETS REALTY CO., LLC",,4750.0
2010-07-05,BROOK GREEN LLC,,5000.0
2010-07-06,TAYLOR BIOMASS ENERGY LLC,,5000.0
2010-07-06,ALMSTEAD TREE & SHRUB CARE COMPANY LLC,,1000.0
2010-07-06,ORANGE COUNTY IRONWORKS LLC,,5000.0
2010-07-06,"POLIMENI INTERNATIONAL, LLC",,9844.0
2010-07-06,MARANS WEISZ & NEWMAN LLC,,1000.0
2010-07-07,HARRISON CENTER CHIROPRACTIC PLLC,,100.0
2010-07-07,ORION SUMMIT SERVICES LLC,,6000.0
2010-07-07,EB-JWJ MANAGEMENT LLC,,5000.0
2010-07-07,BP US ASSET MGMT LLC,,1500.0
2010-07-07,UNIVERSAL MANAGEMENT AGENCY LLC,,5000.0
2010-07-07,NETREX LLC,,2000.0
2010-07-07,MARATHON DEVELOPMENT LLC,,5000.0
2010-07-07,FH OPCO LLC,,5000.0
2010-07-07,WINTERS BROS HOLDINGS LLC,,5000.0
2010-07-07,"HEALTHTRAN, LLC",,500.0
2010-07-08,EDF LLC,,3707.0
2010-07-08,"LMR, LLC",,6000.0
2010-07-08,20TH AVE. LLC,,35000.0
2010-07-08,"BROOK TRUST II, LLC",,10000.0
2010-07-09,PSQR LLC,,55900.0
2010-07-10,APD NEW YORK LLC,,1000.0
2010-07-10,AMBULATORY VASCULAR CARE MANAGEMENT LLC,,40000.0
2010-07-10,MAPLE MESSA LLC,,500.0
2010-07-10,CENTURY 21 DEPARTMENT STORES OF NEW JERSEY LLC,,5000.0
2010-07-10,CENTURY 21 DEPARTMENT STORES LLC,,5000.0
2010-07-11,"SOURCE INTERLINK DISTRIBUTION, LLC",,10000.0
2010-07-11,989 JAMES STREET LLC,,250.0
2010-07-11,MAD LLC,,5000.0
2010-07-11,PINNACLE HOLDING CO LLC,,500.0
2010-07-12,METRO GRAPHICS PRINTING LLC,,500.0
2010-07-12,COOPER BOWERY LLC,,12250.0
2010-07-12,"ISLIP VENTURES, LLC",,25000.0
2010-07-12,"POLIMENI INTERNATIONAL, LLC",,5000.0
2010-07-13,ATLANTIC FINANCE LLC,,1500.0
2010-07-13,MULTIFAMILY MANAGEMENT SERVICES LLC,,1000.0
2010-07-13,MARATHON DEVELOPMENT LLC,,2500.0
2010-07-13,GENESIS PARTNERS LLC,,1000.0
2010-07-13,MULTIFAMILY MGT OF PHILADELPHIA LLC,,1500.0
2010-07-13,GOLDOLLER MANAGEMENT SERVICES LLC,,2500.0
2010-07-13,OMNI HOUSING DEVELOPMENT LLC,,1000.0
2010-07-13,GRANT/BRIARWOOD LLC,,1000.0
2010-07-13,CAPOCCIA ASSET MANAGERS LLC,,5000.0
2010-07-13,"CHESTER MALL, LLC",,10000.0
2010-07-13,"PEPSI BOTTLING VENTURES, LLC",,35000.0
2010-07-13,TJS ASSOCIATES LLC,,5000.0
2010-07-13,THE METROPOLITAN AGENCY LLC,,1000.0
2010-07-13,SHM PARTNERS LLC,,5000.0
2010-07-13,"EMPIRE EXECUTIVE INN, LLC",,5000.0
2010-07-13,EISBROUCH & MARSH LLC,,5000.0
2010-07-13,2355 EIGHTH AVENUE LLC,,1500.0
2010-07-13,"NHE MANAGEMENT ASSOC, LLC",,1000.0
2010-07-13,"AJH ASSOCIATES, LLC",,5000.0
2010-07-13,ZYGOTE LLC,,1000.0
2010-07-14,Z&G LLC,,1000.0
2010-07-14,WESTVALE PLAZA LLC,,250.0
2010-07-14,COMMERCIAL SITE MANAGEMENT LLC,,6500.0
2010-07-14,"THEE AMISH MARKET, LLC",,400.0
2010-07-14,"THE QUAD GROUP, LLC",,400.0
2010-07-14,ROBERT TENGLER PLLC,,2500.0
2010-07-14,FRANCISCAN HEALTH SUPPORT SERVICES LLC,,500.0
2010-07-14,LAWSTREET CAPITAL MANAGEMENT LLC,,2500.0
2010-07-14,"BLANK & STAR, PLLC",,250.0
2010-07-14,SLAWEK W. PLATTA PLLC,,200.0
2010-07-14,PARIS & CHAIKIN PLLC,,600.0
2010-07-15,JAS HOUSING CONSULTANTS LLC,,2500.0
2010-07-15,STORMS KURZER GROUP LLC,,2500.0
2010-07-15,BANIC CONTRACTING LLC,,5000.0
2010-07-15,ATRIUM ASSOCIATES LLC,,400.0
2010-07-16,KBTF GROUP LLC,,2115.0
2010-07-17,PLUMMER & ASSOCIATES LLC,,2000.0
2010-07-17,ROBERTI FAMILY LLC,,4000.0
2010-07-21,ECO SPECIALTIES LLC,,500.0
2010-07-21,"ADDWEL, LLC - ADCO TECHNOLOGY CENTER",,4000.0
2010-08-13,"ALEXANDER HOLDINGS, LLC",,3500.0
2010-08-13,REAL QUALITY WINDOWS & DOORS LLC,,3500.0
2010-08-13,APD NEW YORK LLC,,5000.0
2010-08-15,PA AUSTIN LLC,,1000.0
2010-08-15,PARTS AUTHORITY SOUTHERN LLC,,500.0
2010-08-18,GRAMERCY ADVISORS LLC,,2500.0
2010-09-01,"PRIME LAND SERVICES, LLC",,1000.0
2010-09-01,AIRWAY MAINTENANCE LLC,,5000.0
2010-09-01,"NF ARCHITECTURAL DESIGNS, PLLC",,2500.0
2010-09-01,PONQUOGUE REALTY LLC,,500.0
2010-09-08,CONTENT CRITICAL LLC,,2500.0
2010-09-12,"CHRISTA CONSTRUCTION, LLC",,5000.0
2010-09-13,CONIFER REALTY LLC,,10000.0
2010-09-14,"CALKINS CORPORATE PARK, LLC",,500.0
2010-09-14,"BROAD STREET DEVELOPMENT, LLC",,2700.0
2010-09-14,HALMAR INTERNATIONAL LLC,,5000.0
2010-09-14,HALMAR INTERNATIONAL LLC,,5000.0
2010-09-15,"3750 MONROE AVENUE ASSOCIATES, LLC",,2500.0
2010-09-15,GARTENSTEIN CONSULTANTS LLC,,2500.0
2010-09-15,"CABLEVISION OF OAKLAND, LLC",,30000.0
2010-09-15,"LINCOLN LAND SERVICES, LLC",,2500.0
2010-09-15,PKW GENERAL CONTRACTING LLC,,2500.0
2010-09-15,THE JUDICIAL TITLE INSURANCE AGENCY LLC,,2500.0
2010-09-20,515 BROADHOLLOW LLC,,5000.0
2010-09-20,"MICHAEL SCHROM AND COMPANY, LLC",,2500.0
2010-09-20,"TRF REALTY, LLC",,5000.0
2010-09-20,M & C 62 PROPERTIES LLC,,5000.0
2010-09-20,BENCHMARK TITLE AGENCY LLC,,2500.0
2010-09-20,ORION SUMMIT SERVICES LLC,,250.0
2010-09-23,"GN INVESTMENTS, LLC",,25000.0
2010-09-24,"DOUGLASTON DEVELOPMENT, LLC",,5000.0
2010-09-24,"THE SIGNATURE GROUP, LLC",,1000.0
2010-09-24,"TSG FINANCIAL, LLC",,1000.0
2010-09-27,"BURKE HOMES, LLC",,1000.0
2010-09-27,THOMAS SCOTTO CONSULTANTS LLC,,500.0
2010-09-27,"R & P OAK HILL DEVELOPMENT, LLC",,2000.0
2010-09-27,NEW HORIZON ACQUISITIONS LLC,,1000.0
2010-09-27,"H@ LOFTS, LLC",,5000.0
2010-09-28,"CRAFT BREWERS GUILD, LLC",,2000.0
2010-09-28,UB DISTRIBUTORS LLC,,1000.0
2010-09-28,"DIFAZIO POWER & ELECTRIC, LLC",,5000.0
2010-09-28,THE CLEARING HOUSE ASSOCIATION LLC,,10000.0
2010-09-29,DORSA PARTNERS LLC,,1000.0
2010-09-29,"EB GROSSMANNS FARM, LLC",,5000.0
2010-09-29,"EB AT EAST NORTHPORT, LLC",,5000.0
2010-09-29,FREER LYNBROOK LLC,,5000.0
2010-09-29,MIDWAY INVESTORS LLC,,5000.0
2010-09-29,"HAMPSHIRE MANAGEMENT COMPANY NUMBER 25, LLC",,5000.0
2010-09-29,EB CARE AT MASSAPEQUA LLC,,5000.0
2010-09-29,"HAMPSHIRE MANAGEMENT COMPANY, LLC",,5000.0
2010-09-29,"HAMPSHIRE MANAGEMENT COMPANY NUMBER 20, LLC",,5000.0
2010-09-29,E B RACEWAY LLC,,5000.0
2010-09-29,HUNGRY HARBOR CARE LLC,,5000.0
2010-09-29,BENJAMIN MILLENIUM GROUP LLC,,25000.0
2010-09-29,"CPV VALLEY, LLC",,25000.0
2010-09-30,NYC CLEANING COMPANY LLC,,9450.0
2010-09-30,"LUDLOW STREET DEVELOPMENT, LLC",,9450.0
2010-09-30,"HIPPODROME MEZZ I, LLC",,9450.0
2010-09-30,RIVERGATE DEVELOPMENT LLC,,37800.0
2010-09-30,"HIPPODROME LAND COMPANY, LLC",,9450.0
2010-09-30,SEVEN EAST CARVER STREET LLC,,1000.0
2010-09-30,MS & B CONSTRUCTION CO. LLC,,10000.0
2010-09-30,"PAR VIEW ASSOCIATES, LLC",,1000.0
2010-09-30,STSR TRADING LLC,,20000.0
2010-09-30,"B.R. FRIES & ASSOCIATES, LLC",,1000.0
2010-09-30,HAPPY TRAILS LLC,,250.0
2010-09-30,SERVISAIR LLC,,3000.0
2010-09-30,UCEE RCS ENTERPRISES LLC,,5000.0
2010-09-30,CAROLE LYSAGHT MOODHE M.D. LLC,,500.0
2010-09-30,AGS VENTURES II LLC,,12200.0
2010-09-30,"ROCKWELL GLOBAL CAPITAL, LLC",,1000.0
2010-10-04,"700 N. SAM HOUSTON ROAD REALTY, LLC",,3000.0
2010-10-05,TSUNIS - HUNTINGTON LLC,,10000.0
2010-10-05,J & E INDUSTRIES LLC,,5000.0
2010-10-05,ISLAND CAPITAL GROUP LLC,,7200.0
2010-10-08,"LOGISTICARE SOLUTIONS, LLC",,3000.0
2010-10-08,SEMPRA ENERGY SOLUTIONS LLC,,1000.0
2010-10-08,27-11 49TH AVENUE REALTY LLC,,5000.0
2010-10-08,ISLAND CAPITAL GROUP LLC,,1664.0
2010-10-08,SUSTAINABILITY PARTNERS LLC,,2500.0
2010-10-08,ANTHONY J. CATANESE M.D. LLC,,100.0
2010-10-08,"NIAGARA GENERATION, LLC",,333.0
2010-10-08,"NIAGARA GENERATION, LLC",,333.0
2010-10-08,"MEHERIO, LLC",,10000.0
2010-10-13,"WHITE BIRCH, LLC",,5000.0
2010-10-13,H&G 2006 LLC,,5000.0
2010-10-13,"MILLENNIUM STRATEGIES, LLC",,1000.0
2010-10-13,CUOMO LLC,,5000.0
2010-10-13,ORION SUMMIT SERVICES LLC,,1000.0
2010-10-13,"MILLENNIUM STRATEGIES, LLC",,1000.0
2010-10-14,SOLO MANAGEMENT CO LLC,,2500.0
2010-10-15,"ACCESS INDUSTRIES, LLC",,19500.0
2010-10-18,"ACCESS INDUSTRIES, LLC",,25000.0
2010-10-18,"TRADEMARK WILLIAMS, LLC",,100.0
2010-10-18,"ALBERT FRIED & COMPANY, LLC",,1000.0
2010-10-18,COMMERCIAL SITE MANAGEMENT LLC,,2000.0
